,number,노래 이름,Artist
0,0,선글라스 (Feat. 9999 of 1%),칸토
1,0,춘천 가는 기차,김현철
2,0,나에게로의 초대,정경화
3,0,내가 날 버린 이유,베이시스
4,0,날아라 병아리,넥스트
5,0,취중진담(醉中眞談),전람회
6,0,그 후로 오랫동안,신승훈
7,0,기억속으로,이은미
8,0,칵테일 사랑,마로니에
9,0,나는 문제없어,황규영
10,0,마법의 성,더 클래식
11,0,내가 만일,안치환
12,0,W.H.I.T.E.,화이트
13,0,이브의 경고,박미경
14,0,날개,언타이틀
15,1,선글라스 (Feat. 9999 of 1%),칸토
16,1,어느 소녀의 사랑이야기,민해경
17,1,빗물,송골매
18,1,나에게도 사랑이,함중아와 양키스
19,1,내게도 사랑이 (Cover Ver.),김용길
20,1,꿈의 대화,이범용
21,1,노래하며 춤추며,계은숙
22,1,빙글빙글,Nami (나미)
23,1,담배가게 아가씨,송창식
24,1,꿈에,조덕배
25,1,Q,조용필
26,1,내사랑 내곁에 (응답하라 1988 삽입곡),김현식
27,1,가로수 그늘아래 서면,이문세
28,1,행복한 사람,조동진
29,1,어머니와 고등어,김창완
30,1,영,이선희
31,1,내일이 찾아오면,박정운
32,1,선글라스 (Feat. 9999 of 1%),칸토
33,1,고귀한 선물,장은아
34,1,내일로 가는 우리들,함현숙
35,1,어디쯤가고있을까,전영
36,1,물안개,석미경
37,1,매일 매일 기다려,티삼스
38,1,크게 라디오를 켜고,시나위
39,1,달빛 창가에서,도시아이들
40,1,풀잎사랑,최성수
41,1,그대 내게 다시,변진섭
42,1,사랑한후에 (응답하라 1988 삽입곡),전인권
43,1,혼자만의 사랑,김태영
44,1,처음 느낌 그대로,이소라
45,1,너를 사랑해,한동준
46,1,너의 마음을 내게 준다면,최연제
47,1,행복한 나를,에코
48,2,선글라스 (Feat. 9999 of 1%),칸토
49,2,달팽이,패닉
50,2,기억의 습작,전람회
51,2,가질수 없는 너,뱅크
52,2,너를 보내고,YB (윤도현 밴드)
53,2,발걸음,에메랄드 캐슬
54,2,고백,델리스파이스
55,2,이 밤이 지나면,임재범
56,2,그대에게 (대상),무한궤도
57,2,아름다운 구속,김종서
58,2,난 그래,리아
59,2,헤이 헤이 헤이,하은
60,2,덩크 슛,이승환
61,2,날개 잃은 천사,룰라
62,2,다시 만나 줘,업타운
63,2,선글라스 (Feat. 9999 of 1%),칸토
64,2,Show,김원준
65,2,그래,디바
66,2,일과 이분의 일,투투
67,2,상상속의 너,노이즈
68,2,Aspirin (아스피린) (12 String Guitar Ver.),걸
69,2,포기하지 마,성진우
70,2,날 떠나지마,박진영
71,2,Non-Stop Summer DJ Mega Mix,터보
72,2,숨은 그림 찾기,엄정화
73,2,말하자면,김성재
74,2,책임져,언타이틀
75,2,환생,윤종신
76,2,좋아 좋아,일기예보
77,2,Candy,H.O.T.
78,2,Gasoline,지누션
79,2,1tym,원타임
80,3,내나이 마흔 살에는,양희은
81,3,하숙생,최희준
82,3,하얀 나비,김정호
83,3,학창시절,은희
84,3,당신의 모든 것을,원프러스원
85,3,모모(A),김만준
86,3,그대 없이는 못살아,패티김
87,3,나는 행복한 사람,이문세
88,3,임이 오는 소리,Toi Et Moi
89,3,사랑해,라나에로스포
90,3,그건 너,이장희
91,3,기도,홍삼트리오
92,3,사랑 그 아름답고 소중한 얘기들 (CF - 포스코 For happiness 편),배철수
93,3,길가에 앉아서,김세환
94,3,나는 행복합니다,윤항기
95,3,시골길,임성훈
96,3,밤 배,둘 다섯
97,3,편지,어니언스
98,3,맨처음 고백,송창식
99,3,선글라스 (Feat. 9999 of 1%),칸토
100,3,한동안 뜸했었지,사랑과 평화
101,3,미인,신중현과 엽전들
102,3,워싱톤 광장,이 시스터즈
103,3,오동잎,최헌
104,3,윙윙윙,박은옥
105,3,인생은 미완성,이진관
106,3,눈물 한 방울로 사랑은 시작되고,이유진
107,3,남자는 배 여자는 항구,심수봉
108,3,사랑의 미로,최진희
109,3,당신,김정수
110,3,올 가을엔 사랑할거야,방미
111,3,민들레 홀씨 되어,박미경
112,3,행복,이수만
113,3,이젠 잊기로 해요,김완선
114,3,미소를 띄우며 나를 보낸 그 모습처럼,이은하
115,3,사랑은 유리같은 것,원준희
116,3,내 마음의 보석상자,해바라기
117,4,선글라스 (Feat. 9999 of 1%),칸토
118,4,동행,최성수
119,4,그대 그리고 나,소리새
120,4,"바람, 바람, 바람",김범룡
121,4,물안개,석미경
122,4,사랑은 창밖에 빗물같아요,양수경
123,4,사랑의 썰물,임지훈
124,4,모란동백,김덕환
125,4,촛불켜는 밤,양하영
126,4,이별이란 없는거야 (응답하라 1988 삽입곡),최성원
127,4,묻어버린 아픔,김동환
128,4,슬픈 인연,Nami (나미)
129,4,이별 아닌 이별,이범학
130,4,내게 남은 사랑을 드릴께요,장혜리
131,4,세월이 가면,최호섭
132,4,아니 벌써,산울림
133,4,선글라스 (Feat. 9999 of 1%),칸토
134,4,내일을 향해,신성우
135,4,대답 없는 너,김종서
136,4,내 마음 알겠니,강수지
137,4,먼 훗날,박정운
138,4,먼지가 되어,이윤수
139,4,꿈,이현우
140,4,세상에 뿌려진 사랑만큼,이승환
141,4,동숭로에서,마로니에
142,4,산다는게 뭔지,이진관
143,4,소녀시대,이승철
144,4,보고싶은 얼굴,민해경
145,4,새벽비,혜은이
146,4,삐에로는 우릴 보고 웃지,김완선
147,4,이젠 떠나가볼까,김혜림
148,4,그대 슬픔까지 사랑해,심신
149,5,선글라스 (Feat. 9999 of 1%),칸토
150,5,네게 줄수 있는건 오직 사랑뿐,변진섭
151,5,안녕이라고 말하지마,이승철
152,5,내 아픔 아시는 당신께,조하문
153,5,환희,정수라
154,5,사랑할꺼야,이상은 (=Lee-tzsche)
155,5,널 그리며,박남정
156,5,갈무리,나훈아
157,5,감수광,혜은이
158,5,그대품에 잠들었으면,박정수
159,5,사랑일뿐야,김민우
160,5,샴푸의 요정,빛과 소금
161,5,소중한 너 (Duet With 조규찬),박선주 (Pak Sun Zoo)
162,5,웃어요,오석준
163,5,프란다스의 개,이오공감
164,5,그녀의 웃음소리뿐,이문세
165,5,선글라스 (Feat. 9999 of 1%),칸토
166,5,아름다워,윤수일밴드
167,5,오랜만에,김현철
168,5,너에게,서태지와 아이들
169,5,난 멈추지 않는다,잼
170,5,텔레파시,도시아이들
171,5,로미오 & 줄리엣,신승훈
172,5,걸어서 하늘까지,장현철
173,5,질투,유승범
174,5,너에게 원한건,노이즈
175,5,자유시대,모자이크
176,5,"서울, 이곳은",장철웅
177,5,멀어져 간 사람아,박상민
178,5,난 널 사랑해,신효범
179,5,사랑할수록,부활
180,5,난 아직도 널,작품 하나
181,6,선글라스 (Feat. 9999 of 1%),칸토
182,6,기차와 소나무,이규석
183,6,널 사랑하겠어,동물원
184,6,예정된 시간을 위해,장덕
185,6,내사랑 투유,조갑경
186,6,이별여행,원미연
187,6,사랑했지만,김광석
188,6,너에게 들려주고 싶은 이야기,015B
189,6,친구에게,김민우
190,6,갈색추억,한혜진
191,6,디디디,김혜림
192,6,바라볼 수 없는 그대,양수경
193,6,나 항상 그대를,이선희
194,6,세상 가장 밝은 곳에서 가장 빛나는 목소리로,유익종
195,6,사랑이 저만치 가네,김종찬
196,6,김성호의 회상,김성호
197,6,흩어진 나날들,강수지
198,6,선글라스 (Feat. 9999 of 1%),칸토
199,6,희나리,구창모
200,6,못다핀 꽃 한 송이,김수철
201,6,참새와 허수아비,조정희
202,6,가을을 남기고 간 사랑,패티김
203,6,우리는,송창식
204,6,사랑이여!,유심초
205,6,파초,수와 진
206,6,기타 하나 동전 한닢,이재성
207,6,하늘색 꿈,Locust
208,6,솔개,이태원
209,6,목로 주점,이연실
210,6,아버지의 의자,정수라
211,6,내일이 찾아와도,서울패밀리
212,6,이밤을 다시 한 번,조하문
213,6,그날,김연숙
214,6,마지막 그 아쉬움은 기나긴 시간 속에 묻어둔채,푸른하늘
215,7,선글라스 (Feat. 9999 of 1%),칸토
216,7,입영열차안에서,김민우
217,7,로라,변진섭
218,7,잊지 말아요,최성수
219,7,유리창엔 비,햇빛촌
220,7,추억속의 재회,조용필
221,7,슬픈 표정 하지 말아요,신해철
222,7,보고싶은 얼굴,민해경
223,7,기분 좋은 날,김완선
224,7,바람아 멈추어다오,이지연
225,7,내 아픔 아시는 당신께,조하문
226,7,안녕이라고 말하지마,이승철
227,7,안녕 내사랑,박남정
228,7,(MR 반주곡) 하얀바람 (소방차),Various Artists
229,7,영,이선희
230,7,아름다워라 그대,김종찬
231,7,모두가 사랑이예요,해바라기
232,7,선글라스 (Feat. 9999 of 1%),칸토
233,7,지난날,유재하
234,7,미소를 띄우며 나를 보낸 그 모습처럼,이은하
235,7,세월이 가면,최호섭
236,7,동행,최성수
237,7,그대 그리고 나,소리새
238,7,홀로된 사랑,여운
239,7,짚시여인,이치현과 벗님들
240,7,골목길,김현식
241,7,날 울리지마,신승훈
242,7,담다디,이상은 (=Lee-tzsche)
243,7,노노노노노,하수빈
244,7,그대와 함께 (With You),"손지창, 김민종"
245,7,사랑이라 부를 수 있을까,인공위성
246,7,칵테일 사랑,마로니에
247,7,자유시대,모자이크
248,7,그냥 걸었어,임종환
249,8,그대안의 블루,"김현철, 이소라"
250,8,어떤 그리움,이은미
251,8,멀어져 간 사람아,박상민
252,8,마지막 약속,김정민
253,8,오늘같은 밤이면,박정운
254,8,Lonely Night,부활
255,8,나와 같다면,김장훈
256,8,너를 향한 마음,이승환
257,8,슬픈 그림같은 사랑,이상우
258,8,가려진 시간 사이로,윤상
259,8,마지막 축제,서태지와 아이들
260,8,날 떠나지마,박진영
261,8,나만의 친구,솔리드
262,8,UFO,패닉
263,8,환생,윤종신
264,8,엉뚱한 상상 (White X-Mas를 기다리며),지누
265,8,네모의 꿈,화이트
266,8,만남,코요태
267,8,3!4!,룰라
268,8,단발머리,015B
269,8,바다,유피
270,8,이별 공식,R.ef
271,8,슬퍼지려 하기 전에,쿨 (COOL)
272,8,Time,태사자
273,8,Blue Rain,핑클 (Fin.K.L)
274,8,"Oh, My Love",S.E.S.
275,8,커플,젝스키스
276,8,행복,H.O.T.
277,8,Happy Hour-꺼벙이의 일기,더 클래식
278,9,빙글빙글,Nami (나미)
279,9,불티,전영록
280,9,사랑은 이제 그만,민해경
281,9,남남,최성수
282,9,사랑이 저만치 가네,김종찬
283,9,홀로 된다는 것,변진섭
284,9,개똥벌레,신형원
285,9,가까이하기엔 너무 먼 당신,이광조
286,9,사랑 사랑 누가 말했나,남궁옥분
287,9,젊음의 노트,유미리
288,9,담다디,이상은 (=Lee-tzsche)
289,9,달빛 창가에서,도시아이들
290,9,리듬 속의 그 춤을,김완선
291,9,난 사랑을 아직 몰라,이지연
292,9,사랑의 불시착,박남정
293,9,돌아와요 부산항에,조용필
294,9,선글라스 (Feat. 9999 of 1%),칸토
295,9,아파트,윤수일
296,9,정말로,현숙
297,9,나도야 간다,김수철
298,9,바람 바람 바람 (골든),김범룡
299,9,사랑의 미로,최진희
300,9,잊혀진 계절,이용
301,9,모두가 사랑이예요,해바라기
302,9,울고 싶어라,사랑과 평화
303,9,벌써 이 밤이 다 지나고,"김현, 손경호"
304,9,그녀에게 전해주오,소방차
305,9,호랑나비,김흥국
306,9,바람아 멈추어다오,이지연
307,9,그 누구보다 더,이정현
308,9,안녕이라고 말하지마,이승철
309,9,바람에 옷깃이 날리듯,이상우
310,9,손에 손잡고,Koreana
311,9,그대에게 (대상),무한궤도
312,10,선글라스 (Feat. 9999 of 1%),칸토
313,10,비 오는 날의 수채화,권인하
314,10,기억 속의 멜로디,오태호
315,10,햄,김승기
316,10,아껴둔 사랑을 위해,이주원
317,10,너를 처음만난 그때,박준하
318,10,내 마음 깊은 곳의 너,신해철
319,10,그대가 이 세상에 있는 것만으로,한동준
320,10,세월의 흔적 다 버리고,015B
321,10,그리움만 쌓이네,노영심
322,10,나는 외로움 그대는 그리움,박영미
323,10,사랑한 후에,"전인권, 허성욱"
324,10,내 곁에서 떠나가지 말아요,빛과 소금
325,10,처음 느낌 그대로,이소라
326,10,선글라스 (Feat. 9999 of 1%),칸토
327,10,아리송해,이은하
328,10,사랑하고 싶어,소방차
329,10,새들처럼,변진섭
330,10,한바탕 웃음으로,이선희
331,10,잊지 말아요,최성수
332,10,존대말을 써야할지 반말로 얘기해야할지,민해경
333,10,당신은 어디 있나요,양수경
334,10,정신차려,김수철
335,10,이별 아닌 이별,이범학
336,10,오늘같은 밤이면,박정운
337,10,사랑 느낌,윤익희
338,10,10년전의 일기를 꺼내어,봄여름가을겨울
339,10,이 밤이 지나도록,푸른하늘
340,10,그럴때마다,"윤종신, 이장우, 조규찬, 김연우, 조삼희, 김창원, 유희열"
341,10,오! 사라,이상우
342,10,나의 노래,김광석
343,11,이세상 살아가다 보면,이문세
344,11,어떤이의 꿈,봄여름가을겨울
345,11,샴푸의 요정,빛과 소금
346,11,어느 새,장필순
347,11,여름밤의 꿈,김현식
348,11,나뭇잎 사이로,조동진
349,11,백구,양희은
350,11,오솔길,라나에로스포
351,11,조약돌,박상규
352,11,터,신형원
353,11,보이네,Nami (나미)
354,11,진짜진짜 좋아해,혜은이
355,11,님 떠난 후,현이와 덕이
356,11,밤차,이은하
357,11,불티,전영록
358,11,세상만사,송골매
359,11,선글라스 (Feat. 9999 of 1%),칸토
360,11,그녀를 만나는 곳 100M 전,이상우
361,11,바람이 불어오는 곳,김광석
362,11,행복을 주는 사람,해바라기
363,11,개구장이 (1979),산울림
364,11,난 아니야,조용필
365,11,내일,김수철
366,11,모닥불,박인희
367,11,갯바위,한마음
368,11,참새의 하루,송창식
369,11,꽃밭에서,정훈희
370,11,그댄 봄비를 무척 좋아하나요,이혜민(배따라기)
371,11,사랑의 진실,어니언스
372,11,이름 모를 소녀,김정호
373,11,돌아가는 삼각지,배호
374,11,맨발의 청춘,최희준
375,11,흙에 살리라,홍세민
376,11,사랑하는 마음,김세환
377,11,바라볼 수 없는 그대,양수경
378,12,옛 사랑,이문세
379,12,여전히 아름다운지,김연우
380,12,널 사랑하겠어,동물원
381,12,우리의 밤은 당신의 낮보다 아름답다,코나
382,12,회상 (December),터보
383,12,산다는 건 다 그런게 아니겠니,여행스케치
384,12,To Heaven (천국으로 보낸 편지),조성모
385,12,그때 또 다시 (Again),임창정
