,winner,loser,map,리마스터,방식,대회 레벨,대회 이름,중요도
0,정명훈[FanTaSy],김택용[Bisu],73,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
1,김동준[해설],황지영[리포터],5,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
2,이승현[Life],하연주[배우],61,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
3,강한솔[간호사],지누(김진우)[지누션],19,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
4,김기석[SW],이완구[정치인],78,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
5,박준형[g.o.d],박인경[SW],38,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
6,정명훈[FanTaSy],김윤[SW],35,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
7,강현종[해설],송지효(천수연)[배우],16,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
8,마재윤[sAviOr],지누(김진우)[지누션],37,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
9,오주영[인천대학교],황지영[리포터],33,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
10,이영호[FlaSh],이명박[정치인],51,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
11,주성욱[Zest],박인경[SW],59,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
12,박상현[캐스터],임성춘[IntotheRain],36,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
13,김유진[sOs],이완구[정치인],39,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
14,이혜리[걸스데이],김석원[부천대학교],38,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
15,강호동[방송인],황지영[리포터],35,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
16,정인호[해설],마재윤[sAviOr],39,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
17,김택용[Bisu],남휘종[강사],12,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
18,이승현[Life],김명민[배우],36,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
19,오주영[인천대학교],슈(유수영)[SES],10,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
20,김빛이라[기자],김은아[숭실대학교],63,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
21,조현아[KSK],강한솔[간호사],42,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
22,유병언[KSK],박소진[걸스데이],17,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
23,이신형[InNovation],김택용[Bisu],57,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
24,김태성[경기대학교],이승현[Life],75,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
25,김웅용[공학자],유상우[인하대학교],60,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
26,김준호[herO],박소진[걸스데이],51,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
27,강민[Nal_rA],유태성[경희대학교],21,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
28,이제동[JD],김택용[Bisu],24,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
29,허솔지[EXID],이승현[Life],70,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
30,이신형[InNovation],김종국[터보],54,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
31,이호진[서울대학교],김성아[고려대학교],67,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
32,유재석[방송인],김윤[SW],72,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
33,김태성[경기대학교],손영지[관동대학교],11,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
34,이제동[JD],김성아[고려대학교],47,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
35,남휘종[강사],김웅용[공학자],29,X,팀리그,프로리그,신한은행 프로리그 2015,정규시즌
